net,length_um
net11,1457.325
tree_instances\[0\].u_tree.rst_n,1376.225
net10,1340.88
net9,1233.535
net13,1158.19
net12,930.395
_1575_,574.8
_1666_,482.16
clknet_0_clk,462.74
_1168_,433.355
_1192_,385.04
_1124_,384.62
_0682_,383.1
_0694_,371.215
_0925_,361.735
_1162_,355.5
_0655_,354.885
_0654_,352.06
_0645_,348.5
_0696_,347.96
_0733_,336.01
_0658_,335.245
_0665_,327.14
_0657_,327.065
clknet_3_0__leaf_clk,326.02
_0697_,323.525
clknet_3_2__leaf_clk,312.44
_1165_,309.48
_0675_,305.63
clknet_3_6__leaf_clk,301.35
_0726_,299.97
_0691_,294.755
_0646_,290.015
clknet_3_1__leaf_clk,288.43
clknet_3_7__leaf_clk,287.6
_0653_,279.22
_0662_,273.04
_0673_,266.28
_0000_,264.17
_0647_,262.74
_0714_,262.51
_0648_,261.49
clknet_3_3__leaf_clk,257.97
_0672_,251.93
_0686_,251.5
_1574_,251.5
_0690_,243.08
clknet_3_5__leaf_clk,242.87
_0702_,241.03
_0661_,236.9
_0674_,236.87
_0651_,235.59
_0678_,233.44
tree_instances\[0\].u_tree.frame_id_in\[4\],226.28
net1,221.13
_0664_,217.84
_0704_,216.28
clknet_3_4__leaf_clk,211.92
_0685_,198.34
net8,192.68
_1908_,191.325
_0026_,176.455
_1548_,174.87
_0012_,170.04
_0660_,168.52
_0689_,164.8
_0650_,164.585
_0042_,162.03
_1889_,155.355
_0695_,138.115
_0649_,136.2
clknet_leaf_17_clk,135.62
_1827_,130.965
clknet_leaf_44_clk,129.28
net6,122.775
_0610_,120.68
_1770_,119.915
_1936_,119.2
clknet_leaf_4_clk,115.7
clknet_leaf_20_clk,115.36
_0018_,115.22
_1552_,115.04
clknet_leaf_63_clk,112.07
clknet_leaf_46_clk,109.52
tree_instances\[17\].u_tree.ready_for_next,108.81
_0004_,108.54
clk,107.7
tree_instances\[7\].u_tree.ready_for_next,107.05
clknet_leaf_62_clk,105.52
tree_instances\[13\].u_tree.ready_for_next,105.16
tree_instances\[20\].u_tree.frame_id_out\[4\],104.445
clknet_leaf_12_clk,104.2
_0038_,103.42
tree_instances\[7\].u_tree.tree_state\[3\],102.82
tree_instances\[1\].u_tree.tree_state\[3\],101.25
clknet_leaf_58_clk,100.64
clknet_leaf_36_clk,99.44
_0034_,98.44
_0022_,97.51
_1649_,97.195
clknet_leaf_6_clk,96.28
clknet_leaf_40_clk,95.94
_1832_,95.845
clknet_leaf_2_clk,95.68
net15,95.63
clknet_leaf_57_clk,95.58
_1750_,94.655
clknet_leaf_42_clk,94.2
_0010_,92.35
_1834_,92.105
_0040_,91.76
clknet_leaf_19_clk,91.74
_1891_,91.395
tree_instances\[5\].u_tree.frame_id_out\[4\],91.36
clknet_leaf_69_clk,89.88
clknet_leaf_0_clk,89.02
_1577_,88.745
tree_instances\[19\].u_tree.frame_id_out\[4\],88.4
_0032_,88.085
_1729_,87.92
_0008_,86.76
clknet_leaf_61_clk,86.38
_0036_,86.24
_1096_,86.14
_0712_,86.11
_1668_,85.625
_1872_,85.62
_0014_,85.54
_0024_,85.4
clknet_leaf_8_clk,84.94
clknet_leaf_9_clk,84.86
_1595_,84.765
clknet_leaf_51_clk,84.64
_0030_,84.52
clknet_leaf_49_clk,84.18
clknet_leaf_13_clk,83.64
clknet_leaf_67_clk,83.59
_0028_,83.16
clknet_leaf_41_clk,82.94
_1579_,82.725
_0016_,82.52
clknet_leaf_22_clk,82.12
_0006_,82.07
clknet_leaf_31_clk,81.71
_1793_,81.66
clknet_leaf_56_clk,81.46
clknet_leaf_50_clk,80.72
clknet_leaf_45_clk,80.34
_0808_,80.02
clknet_leaf_53_clk,79.9
_0996_,79.63
_1670_,78.95
clknet_leaf_55_clk,78.64
_0936_,78.63
tree_instances\[19\].u_tree.ready_for_next,78.56
_0782_,78.23
_1399_,78.12
clknet_leaf_7_clk,77.2
_1597_,76.755
_1332_,76.58
_1646_,76.02
tree_instances\[4\].u_tree.frame_id_out\[4\],75.42
_1294_,75.14
_1970_,75.035
tree_instances\[6\].u_tree.ready_for_next,74.97
_1209_,74.95
_0002_,73.38
_1376_,73.32
_1255_,73.3
tree_instances\[14\].u_tree.frame_id_out\[4\],73.28
_1444_,72.72
clknet_leaf_11_clk,72
_1524_,71.795
clknet_leaf_5_clk,71.74
_0703_,71.55
clknet_leaf_21_clk,71.06
_1398_,71.04
_1179_,70.4
clknet_leaf_43_clk,70.25
_0871_,70.235
clknet_leaf_71_clk,70.04
clknet_leaf_68_clk,69.94
clknet_leaf_32_clk,69.58
_0825_,69.5
tree_instances\[15\].u_tree.frame_id_out\[4\],68.62
clknet_leaf_18_clk,68.3
current_voting_frame\[0\],68.1
_1502_,67.9
_0882_,67.82
clknet_leaf_37_clk,67.79
_0912_,67.78
tree_instances\[3\].u_tree.ready_for_next,67.59
tree_instances\[3\].u_tree.frame_id_out\[4\],67.58
_1354_,66.06
_1054_,65.86
current_voting_frame\[3\],64
clknet_leaf_33_clk,63.88
_0721_,62.96
clknet_leaf_52_clk,62.9
clknet_leaf_14_clk,62.3
clknet_leaf_25_clk,62.14
clknet_leaf_10_clk,62.04
_0020_,62.02
tree_instances\[7\].u_tree.frame_id_out\[3\],61.87
tree_instances\[10\].u_tree.frame_id_out\[4\],61.86
tree_instances\[18\].u_tree.ready_for_next,61.53
_1232_,61.42
tree_instances\[12\].u_tree.ready_for_next,61.23
tree_instances\[9\].u_tree.tree_state\[3\],60.7
tree_instances\[1\].u_tree.frame_id_out\[4\],60.46
clknet_leaf_27_clk,60.4
clknet_leaf_35_clk,60.3
tree_instances\[4\].u_tree.frame_id_out\[0\],60.12
clknet_leaf_30_clk,59.66
tree_instances\[15\].u_tree.frame_id_out\[2\],59.28
tree_instances\[10\].u_tree.ready_for_next,59.27
tree_instances\[18\].u_tree.frame_id_out\[4\],59.04
tree_instances\[6\].u_tree.frame_id_out\[4\],58.77
clknet_leaf_66_clk,58.68
_0960_,58.2
tree_instances\[13\].u_tree.frame_id_out\[4\],57.56
tree_instances\[2\].u_tree.frame_id_out\[4\],57.46
_1478_,57.12
_1139_,56.96
_1029_,56.72
clknet_leaf_29_clk,56.56
_1644_,56.2
clknet_leaf_39_clk,55.64
state\[0\],54.96
clknet_leaf_28_clk,54.92
_0765_,54.88
clknet_leaf_16_clk,54.8
clknet_leaf_65_clk,54.62
net2,54.42
_0853_,54.02
clknet_leaf_54_clk,53.64
tree_instances\[16\].u_tree.frame_id_out\[4\],53.34
clknet_leaf_15_clk,52.94
tree_instances\[3\].u_tree.frame_id_out\[0\],52.78
_0667_,52.66
tree_instances\[11\].u_tree.frame_id_out\[4\],52.22
_0772_,51.96
clknet_leaf_24_clk,51.68
_1549_,51.42
clknet_leaf_48_clk,51.32
tree_instances\[15\].u_tree.frame_id_out\[0\],51.2
tree_instances\[5\].u_tree.frame_id_out\[3\],50.66
_0885_,50.19
tree_instances\[19\].u_tree.frame_id_out\[3\],49.5
clknet_leaf_1_clk,49.1
_1554_,48.76
clknet_leaf_3_clk,48.52
tree_instances\[17\].u_tree.frame_id_out\[4\],48.32
clknet_leaf_38_clk,48.24
tree_instances\[1\].u_tree.ready_for_next,46.86
tree_instances\[6\].u_tree.frame_id_out\[2\],46.6
clknet_leaf_23_clk,45.7
clknet_leaf_60_clk,45.48
_0773_,45.095
tree_instances\[19\].u_tree.frame_id_out\[1\],44.965
tree_instances\[4\].u_tree.frame_id_out\[1\],44.73
_0757_,44.08
tree_instances\[13\].u_tree.frame_id_out\[1\],43.34
_0671_,43.3
tree_instances\[1\].u_tree.frame_id_out\[0\],43.2
tree_instances\[15\].u_tree.ready_for_next,42.85
tree_instances\[7\].u_tree.frame_id_out\[4\],42.66
_0791_,41.76
tree_instances\[0\].u_tree.frame_id_out\[0\],41.62
_0843_,41.38
tree_instances\[4\].u_tree.frame_id_out\[3\],41.24
tree_instances\[16\].u_tree.frame_id_out\[1\],41.2
_0807_,40.94
tree_instances\[2\].u_tree.frame_id_out\[1\],40.76
_0764_,40.64
tree_instances\[3\].u_tree.frame_id_out\[1\],40.62
_1544_,40.44
clknet_leaf_59_clk,40.34
_0701_,40.22
_0720_,39.9
tree_instances\[9\].u_tree.frame_id_out\[4\],39.7
_1684_,39.3
tree_instances\[12\].u_tree.frame_id_out\[4\],39.3
_1627_,39.24
tree_instances\[16\].u_tree.frame_id_out\[3\],39.2
tree_instances\[2\].u_tree.frame_id_out\[0\],39.115
complete_votes\[3\],38.94
_0852_,38.765
tree_instances\[13\].u_tree.frame_id_out\[0\],38.34
_0911_,38.2
tree_instances\[5\].u_tree.frame_id_out\[2\],38.18
_0756_,37.98
tree_instances\[11\].u_tree.frame_id_out\[3\],37.78
clknet_leaf_70_clk,37.6
_1893_,37.56
clknet_leaf_26_clk,36.91
tree_instances\[13\].u_tree.frame_id_out\[3\],35.94
tree_instances\[18\].u_tree.frame_id_out\[1\],35.93
tree_instances\[0\].u_tree.frame_id_out\[3\],35.22
tree_instances\[10\].u_tree.frame_id_out\[3\],35.16
_0630_,34.26
tree_instances\[19\].u_tree.frame_id_out\[0\],34.26
tree_instances\[3\].u_tree.frame_id_out\[2\],34.04
tree_instances\[4\].u_tree.ready_for_next,33.64
tree_instances\[12\].u_tree.frame_id_out\[3\],33.6
tree_instances\[18\].u_tree.tree_state\[0\],33.38
tree_instances\[6\].u_tree.frame_id_out\[3\],33.16
tree_instances\[2\].u_tree.frame_id_out\[3\],33.12
_1397_,32.92
clknet_leaf_47_clk,31.68
_0612_,31.54
tree_instances\[3\].u_tree.frame_id_out\[3\],31.46
_1443_,31.415
_1765_,31.3
tree_instances\[11\].u_tree.frame_id_out\[1\],30.74
tree_instances\[10\].u_tree.frame_id_out\[0\],30.72
_1902_,30.52
tree_instances\[7\].u_tree.frame_id_out\[0\],30.5
_1763_,29.82
tree_instances\[9\].u_tree.frame_id_out\[2\],29.435
_0638_,29.16
tree_instances\[0\].u_tree.frame_id_out\[2\],29.08
_1647_,29
_0616_,28.96
_1665_,28.9
tree_instances\[12\].u_tree.frame_id_out\[0\],28.78
state\[1\],28.66
tree_instances\[8\].u_tree.ready_for_next,28.54
_0624_,28.52
_1550_,28.22
_0602_,28.21
tree_instances\[9\].u_tree.frame_id_out\[0\],27.96
_0684_,27.76
tree_instances\[13\].u_tree.tree_state\[2\],27.68
tree_instances\[14\].u_tree.ready_for_next,27.21
_1925_,27.2
tree_instances\[17\].u_tree.frame_id_out\[1\],27.18
tree_instances\[16\].u_tree.frame_id_out\[0\],27.17
_1231_,27.06
_0862_,26.88
tree_instances\[3\].u_tree.tree_state\[0\],26.81
tree_instances\[17\].u_tree.frame_id_out\[0\],26.7
_1138_,26.66
